Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
11,PROPPOSTCODE,PB,Text,10,Hotel Postal Code or Zip Code  Example: M5G 2L0 or 80202,,,,,,,,10,PROPPOSTCODE,PB,Hotel Postal Code  Example:  M5G 2L0,AMENDED
12,MAINPHONECOUNTRY,PB,Text,6,Main phone country code  Example: 44,,,,,,,,12,MAINPHONECOUNTRY,PB,Main phone country code Example: 44,NO CHANGE
13,MAINPHONECITY,PB,Text,6,Main phone city code or area code  Example: 625,,,,,,,,13,MAINPHONECITY,PB,Main phone city code or area code Example: 625,NO CHANGE
14,MAINPHONE,PB,Text,10,Main phone local number  Example: 555888,,,,,,,,14,MAINPHONE,PB,Main phone local number Example: 555888,NO CHANGE
15,MAINFAXCOUNTRY,PB,Text,6,Main fax country code  Example: 44,,,,,,,,15,MAINFAXCOUNTRY,PB,Main fax country code Example: 44,NO CHANGE
16,MAINFAXCITY,PB,Text,6,Main fax city code or area code  Example: 625,,,,,,,,16,MAINFAXCITY,PB,Main fax city code or area code Example: 625,NO CHANGE
17,MAINFAX,PB,Text,10,Main fax local number  Example: 444777,,,,,,,,17,MAINFAX,PB,Main fax local number Example: 444777,NO CHANGE
18,UNITOFMEAS,PB,Text,2,Unit of measure for distance related questions use KM for kilometers or MI for miles.  This question only needs to be answered once and will apply to all other questions where KM or MI applies.,,,,,,,,20,UNITOFMEAS,PB,Unit of measure for distance related questions use KM for kilometers or MI for miles.  This question only needs to be answered once and will apply to all other questions where KM or MI applies.,NO CHANGE
19,PROPURL,PB,Text,100,Hotel Internet Address  Example: www.Hotel.com/canada/222headtext.html,,,,,,,,21,PROPURL,PB,Hotel Internet Address  Example: www.Hotel.com/canada/222headtext.html,NO CHANGE
20,PROPSALESGENREMAIL,PB,Text,100,"Generic email address of sales department on property, which will be used as a backup if the email address of the sales contact is not deliverable.  Example:  sales@hotel.com",,,,,,,,22,PROPSALESGENREMAIL,PB,"Generic email address of sales department on property, which will be used as a backup if the email address of the sales contact is not deliverable.  Example:  sales@hotel.com",NO CHANGE
21,FULL_OR_LIM,PB,Text,1,Is hotel Full Service or Limited Service?  (F or L),,,,,,,,23,FULL_OR_LIM,PB,Is hotel Full Service or Limited Service?  (F or L),NO CHANGE
22,ES_STAY,PB,Y/N,1,Is hotel Extended Stay or Residential Apartment Hotel?  (Y or N),,,,,,,,24,ES_STAY,PB,Is hotel Extended Stay or Residential Apartment Hotel?  (Y or N),NO CHANGE
23,MKT_TIER,PB,Text,2,"Enter ONE of the following market tier/price segments that classifies your hotel (U.S. hotels, please use Smith Travel Research market tier/price segment for your hotel) Acceptable answers:  L=Luxury, UU=Upper Upscale, U=Upscale, UM=Upper Midscale, M=Midscale, E=Economy",,,,,,,,25,MKT_TIER,PB,"Enter ONE of the following market tier/price segments that classifies your hotel (U.S. hotels, please use Smith Travel Research market tier/price segment for your hotel) Acceptable answers:  L=Luxury; UU= Upper Upscale; U= Upscale; MFB= Midscale w/ F&B; M= Midscale w/o F&B; E= Economy or NA ",AMENDED
24,YRBUILT,PB,Number,"(4,0)",Year hotel built  Example: 1984  ,,,,,,,,29,YRBUILT,PB,Year hotel built  Example: 1984  ,NO CHANGE
25,LASTREN,PB,Number,"(4,0)",Year of last complete guest room renovation  Example:  2001,,,,,,,,30,LASTREN,PB,Year of last complete guest room renovation  Example:  2001,NO CHANGE
26,NUMROOMS,PB,Number,"(4,0)",Total number of guest rooms (including suites)  Example: 452,,,,,,,,31,NUMROOMS,PB,Total number of guest rooms (including suites) Example: 452,NO CHANGE
27,NUMNOSMK,PB,Number,"(4,0)",Total number of non smoking rooms (including suites)  Example: 175,,,,,,,,32,NUMNOSMK,PB,Total number of non smoking rooms (including suites) Example: 175,NO CHANGE
28,NUMFLRS,PB,Number,"(3,0)",Number of floors in hotel  Example: 8,,,,,,,,33,NUMFLRS,PB,Number of floors in hotel Example: 8,NO CHANGE
29,MGMTCOMPANY,PB,Text,100,Management Company,,,,,,,,34,MGMTCOMPANY,PB,Management Company,NO CHANGE
30,OWNERCOMPANY,PB,Text,100,Ownership Company,,,,,,,,35,OWNERCOMPANY,PB,Ownership Company,NO CHANGE
31,PROPOVERVIEW,PB,Text,300,Provide a brief overview of the property.  Do not enter quotes in the description.,,,,,,,,43,PROPOVERVIEW,PB,Provide a brief overview of the property.  Do not enter quotes in the description.,NO CHANGE
32,PROP_LOC,PB,Text,1,"Property Location - Enter only ONE of the following acceptable answers:  A=Airport, D=Downtown/City Center, S=Suburb, R=Rural, T=Resort",,,,,,,,42,PROP_LOC,PB,"Property Location - Enter only ONE of the following acceptable answers:  A=Airport, D=Downtown/City Center, S=Suburb, R=Rural, T=Resort",NO CHANGE
33,AIRCITYCODE,PB,Text,3,"Airport City Code for Metro Area.  Examples: PAR (Paris), NYC (New York City) DAL (Dallas)",,,,,,,,426,AIRCITYCODE,GT,"Airport City Code for Metro Area.  Examples:  PAR (Paris), NYC (New York City) DAL (Dallas)",NO CHANGE
34,AIR1CODE,PB,Text,3,3 letter airport code for nearest major airport Example:  YYZ,,,,,,,,427,AIR1CODE,GT,3 letter airport code for nearest major airport Example:  YYZ,NO CHANGE
35,DISABCOMPLY,PB,Y/N,1,Does hotel comply with all local and national disability laws?,,,,,,,,NEW,,,,NEW
36,DISABACCSS,PB,Y/N,1,Are facilities/public areas accessible by people with physical disabilities? (Y or N),,,,,,,,39,DISABACCSS,PB,Are facilities/public areas accessible by physically challenged/disabled/handicapped people? (Y or N),AMENDED
37,NUMDISABL,PB,Number,"(4,0)",Total number of rooms for people with physical disabilities  Example: 50,,,,,,,,40,NUMDISABL,PB,Total number of rooms for the physically challenged/handicapped  Example:  50,AMENDED
38,HAND_PARK,PB,Y/N,1,Does hotel have handicap parking? (Y or N),,,,,,,,41,HAND_PARK,PB,Does hotel have handicap parking? (Y or N),NO CHANGE
39,REST_ONSITE,PB,Y/N,1,Restaurant on site?  (Y or N),,,,,,,,305,REST_ONSITE,SA,Restaurant on site?  (Y or N),NO CHANGE
40,RM_SRV_AVL,PB,Y/N,1,Is Room Service available?  (Y or N),Y,,P42,,,,,310,RM_SRV_AVL,SA,Is Room Service available?  (Y or N),NO CHANGE
41,RM_SRV_HRS,PB,Text,25,"If yes, enter hours of operation (Please use 24h clock ex:00:00 - 23:59)  If none, enter hours 00:00 - 00:00",,Y,40,"Y, N",NO,"If Field 317 = Y, enter hours. If Field 317 = N, enter 00:00 - 00:00",,311,RM_SRV_HRS,SA,"If yes, enter hours of operation (Please use 24h clock ex:00:00 - 23:59)  If No, enter hours 00:00 - 00:00",NO CHANGE
42,CONVENENCE_FOOD,PB,Y/N,1,"Is there a food outlet that serves food to take away such as a ""Grab & Go?"" (Y or N)",,,,,,,,315,CONVENENCE_FOOD,SA,Is there a convenience store that serves food on site? (Y or N),AMENDED
43,BUS_CENTER,PB,Y/N,1,On-site Business Center? (Y or N),,,,,,,,327,BUS_CENTER,SA,On-site Business Center? (Y or N),NO CHANGE
44,FRNT_DESK,PB,Text,25,Front Desk hours: (Please use 24h clock ex:00:00 - 23:59),,,,,,,,370,FRNT_DESK,SA,Front Desk hours: (Please use 24h clock ex:00:00 - 23:59),NO CHANGE
45,AIR_CONDITIONED,PB,Y/N,1,Do all guest rooms have air conditioning? (Y or N),,,,,,,,357,AIR_CONDITIONED,SA,Do all guest rooms have air conditioning? (Y or N),NO CHANGE
46,PRIVATE_BATHSA,PB,Y/N,1,Do all guest rooms have private bath room? (Y or N),,,,,,,,359,PRIVATE_BATHSA,SA,Do all guest rooms have private bath room? (Y or N),NO CHANGE
47,AMEXCARD,PB,Y/N,1,Hotel accepts American Express charge card?  (Y or N),,,,,,,,44,AMEXCARD,PB,Hotel accepts American Express charge card?  (Y or N),NO CHANGE
48,DINERSCARD,PB,Y/N,1,Hotel accepts Diner's Club/Carte Blanche charge card?  (Y or N),,,,,,,,45,DINERSCARD,PB,Hotel accepts Diner's Club/Carte Blanche charge card?  (Y or N),NO CHANGE
49,DISCOVERCARD,PB,Y/N,1,Hotel accepts Discover credit card?  (Y or N),,,,,,,,46,DISCOVERCARD,PB,Hotel accepts Discover credit card?  (Y or N),NO CHANGE
50,JCBCARD,PB,Y/N,1,Hotel accepts JCB credit card?  (Y or N),,,,,,,,47,JCBCARD,PB,Hotel accepts JCB credit card?  (Y or N),NO CHANGE
51,MASTERCARD,PB,Y/N,1,Hotel accepts MasterCard/Eurocard credit card?  (Y or N),,,,,,,,48,MASTERCARD,PB,Hotel accepts MasterCard/Eurocard credit card?  (Y or N),NO CHANGE
52,VISACARD,PB,Y/N,1,Hotel accepts Visa credit card?  (Y or N),,,,,,,,49,VISACARD,PB,Hotel accepts Visa credit card?  (Y or N),NO CHANGE
53,AMADEUS_CHAINCODE,PB,Text,2,Amadeus Chain Code (GDS-specific 2-letter chain code),,,,,,,,50,AMADEUS_CHAINCODE,PB,Amadeus Chain Code (GDS-specific 2-letter chain code),NO CHANGE
54,AMADEUS_PROPCODE,PB,Text,6,Amadeus property code (DO NOT include chain code) enter a combination of numbers and letters  Example: YY1234,,,,,,,,51,AMADEUS_PROPCODE,PB,Amadeus property code (DO NOT include chain code) enter a combination of numbers and letters  Example:  YY1234,NO CHANGE
55,APOLLO_CHAINCODE,PB,Text,2,Apollo/Galileo Chain Code (GDS-specific 2-letter chain code),,,,,,,,52,APOLLO_CHAINCODE,PB,Apollo/Galileo Chain Code (GDS-specific 2-letter chain code),NO CHANGE
56,APOLLO_PROPCODE,PB,Text,5,Apollo/Galileo Property Code (DO NOT include chain code) enter numbers only  Example:  12345,,,,,,,,53,APOLLO_PROPCODE,PB,Apollo/Galileo Property Code (DO NOT include chain code) enter numbers only  Example:  12345,NO CHANGE
57,SABRE_CHAINCODE,PB,Text,2,Sabre Chain Code (GDS-specific 2-letter chain code),,,,,,,,54,SABRE_CHAINCODE,PB,Sabre Chain Code (GDS-specific 2-letter chain code),NO CHANGE
58,SABRE_PROPCODE,PB,Text,7,Sabre Property Code (DO NOT include chain code) enter numbers only  Example: 1234567. This code must be all numeric. The code must be at least 1 digit and no more than 7 digits.,,,,,,,,55,SABRE_PROPCODE,PB,Sabre Property Code (DO NOT include chain code) enter numbers only  Example: 1234567. This code must be all numeric. The code must be at least 1 digit and no more than 7 digits.,NO CHANGE
59,WORLDSPAN_CHAINCODE,PB,Text,2,Worldspan Chain Code (GDS-specific 2-letter chain code),,,,,,,,56,WORLDSPAN_CHAINCODE,PB,Worldspan Chain Code (GDS-specific 2-letter chain code),NO CHANGE
60,WRLDSPAN_PROPCODE,PB,Text,5,Worldspan Property Code (DO NOT include chain code) enter a combination of numbers and letters  Example: YY123,,,,,,,,57,WRLDSPAN_PROPCODE,PB,Worldspan Property Code (DO NOT include chain code) enter a combination of numbers and letters  Example:  YY123,NO CHANGE
61,MASTERCHAINCODE,PB,Text,2,"MASTER CHAIN CODE (chain code that links all brands (If not applicable, leave blank)",,,,,,,,58,MASTERCHAINCODE,PB,MASTER CHAIN CODE (chain code that links all brands (leave blank if not applicable),NO CHANGE
62,CLIENT_NAME,CS,Text,50,"Name of client these rates are being offered to.  Example: Some client, Inc.",,,,,,,,59,CLIENT_NAME,CS,"Name of client these rates are being offered to. Example: Some client, Inc.",NO CHANGE
63,RM_NIGHTS,CS,Number,"(8,0)",Number of room nights produced from Jan 1 to June 30.  Example: 362,,,,,,,,69,RM_NIGHTS,CS,Number of room nights produced from Jan 1 to June 30. Example: 362,NO CHANGE
64,RATE_CURR,CS,Text,3,3-letter IMF Currency Code denoting which currency the rates are quoted in  Example: USD,,,,,,,,70,RATE_CURR,CS,3-letter IMF Currency Code denoting which currency the rates are quoted in  Example: USD,NO CHANGE
65,DYNAMIC_PRICING,CS,Y/N,1,Would you be willing to offer a Dynamic rate option in lieu of a static negotiated rate? (Y or N),Y ,,P 66,,,,,NEW,DYNAMIC_PRICING_OFFER,,Do your offer Dynamic Pricing (Y or N),NEW
66,DYNAMIC_PCT_Discount,CS,Number,"(20,0)","If a Dynamic rate option is offered, what is the percentage off BAR (best available rate)?",,Y,65,Y,NO,"If Field 65 = Y, enter a value",,76,DYNAMIC_PCT_Discount,CS,"If Dynamic Pricing is requested, what is the percentage discount off BAR (best available rate)?",AMENDED
67,ROOMTYPE1DEFINE,CS,Text,25,Define room type 1 for your property.  Example: One king bed,Y ,,P 68,,,,,71,ROOMTYPE1DEFINE,CS,Define room type 1 for your property.  Example:  One king bed.,NO CHANGE
68,ROOMTYPE1NUMBER,CS,Number,"(4,0)",Number of room type 1 included in client negotiated rate.,,Y,67,not null,NO,"If Field 67 populated, enter a number.",,72,ROOMTYPE1NUMBER,CS,Number of room type 1 included in client negotiated rate.,NO CHANGE
69,ROOMTYPE2DEFINE,CS,Text,25,Define room type 2 for your property.  Example: Larger room than room type 1 with view,Y,,P 70,,,,,73,ROOMTYPE2DEFINE,CS,Define room type 2 for your property.  Example:  Larger room than room type 1 with view.,NO CHANGE
70,ROOMTYPE2NUMBER,CS,Number,"(4,0)",Number of room type 2 included in client negotiated rate.,,Y,69,not null,NO,"If Field 69 populated, enter a number.",,74,ROOMTYPE2NUMBER,CS,Number of room type 2 included in client negotiated rate.,NO CHANGE
71,ROOMTYPE3DEFINE,CS,Text,25,Define room type 3 for your property.  Example: A double room,Y,,P 72,,,,,NEW,ROOMTYPE3DEFINE,,Define room type 3 for your property.  Example:  A double room for a single occupant,NEW
72,ROOMTYPE3NUMBER,CS,Number,"(4,0)",Number of room type 3 rooms included in client negotiated rate.,,Y,71,Not Null,,"If Field 71 populated, enter a number.",,NEW,ROOMTYPE3NUMBER,,Number of room type 3 included in client negotiated rate.,NEW
73,SEASON1START,CS,Date,10,Season 1 start date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,77,SEASON1START,CS,Season 1 start date.  Use short date format:  MM/DD/YYYY   ,AMENDED
74,SEASON1END,CS,Date,10,Season 1 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,78,SEASON1END,CS,Season 1 end date.  Use short date format:  MM/DD/YYYY ,AMENDED
75,LRA_S1_RT1_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 1 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,87,LRA_S1_RT1_SGL,CS,Client negotiated LRA rate for Room Type 1 in Season 1 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
76,LRA_S1_RT1_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 1 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,88,LRA_S1_RT1_DBL,CS,Client negotiated LRA rate for Room Type 1 in Season 1 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
77,LRA_S1_RT2_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 1 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,89,LRA_S1_RT2_SGL,CS,Client negotiated LRA rate for Room Type 2 in Season 1 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
78,LRA_S1_RT2_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 1 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,90,LRA_S1_RT2_DBL,CS,Client negotiated LRA rate for Room Type 2 in Season 1 per night (Rate you are offering to this client.) Double  occupancy,NO CHANGE
79,LRA_S1_RT3_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 1 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,LRA_S1_RT3_SGL,,Client negotiated LRA rate for Room Type 3 in Season 1 per night (Rate you are offering to this client.) Single occupancy,NEW
80,LRA_S1_RT3_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 1 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,LRA_S1_RT3_DBL,,Client negotiated LRA rate for Room Type 3 in Season 1 per night (Rate you are offering to this client.) Double  occupancy,NEW
81,NLRA_S1_RT1_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 1 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,91,NLRA_S1_RT1_SGL,CS,Client negotiated non-LRA rate for Room Type 1 in Season 1 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
82,NLRA_S1_RT1_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 1 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,92,NLRA_S1_RT1_DBL,CS,Client negotiated non-LRA rate for Room Type 1 in Season 1 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
83,NLRA_S1_RT2_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 1 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,93,NLRA_S1_RT2_SGL,CS,Client negotiated non-LRA rate for Room Type 2 in Season 1 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
84,NLRA_S1_RT2_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 1 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,94,NLRA_S1_RT2_DBL,CS,Client negotiated non-LRA rate for Room Type 2 in Season 1 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
85,NLRA_S1_RT3_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 1 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,NLRA_S1_RT3_SGL,,Client negotiated non-LRA rate for Room Type 3 in Season 1 per night (Rate you are offering to this client.) Single occupancy,NEW
86,NLRA_S1_RT3_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 1 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,NLRA_S1_RT3_DBL,,Client negotiated non-LRA rate for Room Type 3 in Season 1 per night (Rate you are offering to this client.) Double occupancy,NEW
87,GOVT_S1_RT1_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 1 per night Single occupancy,,,,,,,,99,GOVT_S1_RT1_SGL,CS,Government/Military rate for Room Type 1 in Season 1 per night Single occupancy,NO CHANGE
88,GOVT_S1_RT1_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 1 per night Double occupancy,,,,,,,,100,GOVT_S1_RT1_DBL,CS,Government/Military rate for Room Type 1 in Season 1 per night Double occupancy,NO CHANGE
89,GOVT_S1_RT2_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 1 per night Single occupancy,,,,,,,,101,GOVT_S1_RT2_SGL,CS,Government/Military rate for Room Type 2 in Season 1 per night Single occupancy,NO CHANGE
90,GOVT_S1_RT2_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 1 per night Double occupancy,,,,,,,,102,GOVT_S1_RT2_DBL,CS,Government/Military rate for Room Type 2 in Season 1 per night Double occupancy,NO CHANGE
91,GOVT_S1_RT3_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 1 per night Single occupancy,,,,,,,,NEW,GOVT_S1_RT 3_SGL,,Government/Military rate for Room Type 3 in Season 1 per night Single occupancy,NEW
92,GOVT_S1_RT3_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 1 per night Double occupancy,,,,,,,,NEW,GOVT_S1_RT 3_DBL,,Government/Military rate for Room Type 3 in Season 1 per night Double occupancy,NEW
93,SEASON2START,CS,Date,10,Season 2 start date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,103,SEASON2START,CS,Season 2 start date.  Use short date format:  MM/DD/YYYY   ,AMENDED
94,SEASON2END,CS,Date,10,Season 2 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,104,SEASON2END,CS,Season 2 end date.  Use short date format:  MM/DD/YYYY ,AMENDED
95,LRA_S2_RT1_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 2 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,113,LRA_S2_RT1_SGL,CS,Client negotiated LRA rate for Room Type 1 in Season 2 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
96,LRA_S2_RT1_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 2 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,114,LRA_S2_RT1_DBL,CS,Client negotiated LRA rate for Room Type 1 in Season 2 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
97,LRA_S2_RT2_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 2 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,115,LRA_S2_RT2_SGL,CS,Client negotiated LRA rate for Room Type 2 in Season 2 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
98,LRA_S2_RT2_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 2 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,116,LRA_S2_RT2_DBL,CS,Client negotiated LRA rate for Room Type 2 in Season 2 per night (Rate you are offering to this client.) Double  occupancy,NO CHANGE
99,LRA_S2_RT3_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 2 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,LRA_S2_RT3_SGL,,Client negotiated LRA rate for Room Type 3 in Season 2 per night (Rate you are offering to this client.) Single occupancy,NEW
100,LRA_S2_RT3_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 2 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,LRA_S2_RT3_DBL,,Client negotiated LRA rate for Room Type 3 in Season 2 per night (Rate you are offering to this client.) Double  occupancy,NEW
101,NLRA_S2_RT1_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 2 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,117,NLRA_S2_RT1_SGL,CS,Client negotiated non-LRA rate for Room Type 1 in Season 2 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
102,NLRA_S2_RT1_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 2 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,118,NLRA_S2_RT1_DBL,CS,Client negotiated non-LRA rate for Room Type 1 in Season 2 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
103,NLRA_S2_RT2_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 2 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,119,NLRA_S2_RT2_SGL,CS,Client negotiated non-LRA rate for Room Type 2 in Season 2 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
104,NLRA_S2_RT2_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 2 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,120,NLRA_S2_RT2_DBL,CS,Client negotiated non-LRA rate for Room Type 2 in Season 2 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
105,NLRA_S2_RT3_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 2 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,NLRA_S2_RT3_SGL,,Client negotiated non-LRA rate for Room Type 3 in Season 2 per night (Rate you are offering to this client.) Single occupancy,NEW
106,NLRA_S2_RT3_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 2 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,NLRA_S2_RT3_DBL,,Client negotiated non-LRA rate for Room Type 3 in Season 2 per night (Rate you are offering to this client.) Double occupancy,NEW
107,GOVT_S2_RT1_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 2 per night Single occupancy,,,,,,,,125,GOVT_S2_RT1_SGL,CS,Government/Military rate for Room Type 1 in Season 2 per night Single occupancy,NO CHANGE
108,GOVT_S2_RT1_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 2 per night Double occupancy,,,,,,,,126,GOVT_S2_RT1_DBL,CS,Government/Military rate for Room Type 1 in Season 2 per night Double occupancy,NO CHANGE
109,GOVT_S2_RT2_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 2 per night Single occupancy,,,,,,,,127,GOVT_S2_RT2_SGL,CS,Government/Military rate for Room Type 2 in Season 2 per night Single occupancy,NO CHANGE
110,GOVT_S2_RT2_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 2 per night Double occupancy,,,,,,,,128,GOVT_S2_RT2_DBL,CS,Government/Military rate for Room Type 2 in Season 2 per night Double occupancy,NO CHANGE
111,GOVT_S2_RT3_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 2 per night Single occupancy,,,,,,,,NEW,GOVT_S2_RT3_SGL,,Government/Military rate for Room Type 3 in Season 2 per night Single occupancy,NEW
